delivery_id,order_id,driver_id,pickup_time,delivery_time,delivery_status,distance_km,delivery_duration_minutes
DEL-00105,ORD-00149,DRV-043,2025-07-28 13:17:05,2025-07-28 14:14:05,failed,16.1,57
DEL-00106,ORD-00150,DRV-006,2026-01-09 00:18:01,2026-01-09 00:55:01,delivered,51.3,37
DEL-00107,ORD-00152,DRV-037,2025-07-16 08:15:04,2025-07-16 12:11:04,delivered,44.7,236
DEL-00108,ORD-00153,DRV-042,2025-08-15 01:08:15,2025-08-15 05:00:15,delivered,44.1,232
DEL-00109,ORD-00154,DRV-002,2025-11-15 12:36:32,2025-11-15 16:21:32,delivered,9.7,225
DEL-00110,ORD-00157,DRV-046,2025-06-10 21:58:21,2025-06-11 00:33:21,delivered,2.5,155
DEL-00111,ORD-00158,DRV-030,2025-11-13 08:03:48,2025-11-13 11:05:48,delivered,4.9,182
DEL-00112,ORD-00160,DRV-038,2026-04-10 08:11:53,2026-04-10 09:14:53,delivered,19.1,63
DEL-00113,ORD-00161,DRV-015,2025-05-01 21:17:05,2025-05-01 22:23:05,delivered,32.2,66
DEL-00114,ORD-00162,DRV-028,2025-10-05 06:46:04,2025-10-05 08:26:04,delivered,72.6,100
DEL-00115,ORD-00163,DRV-003,2026-01-23 06:33:32,2026-01-23 08:20:32,delivered,49.4,107
DEL-00116,ORD-00164,DRV-021,2025-04-28 16:50:58,2025-04-28 20:22:58,delivered,26.7,212
DEL-00117,ORD-00165,DRV-047,2025-10-27 23:49:32,2025-10-28 02:29:32,failed,49.9,160
DEL-00118,ORD-00166,DRV-023,2025-10-10 03:18:00,2025-10-10 04:45:00,delivered,79.7,87
DEL-00119,ORD-00167,DRV-016,2026-02-03 02:22:12,2026-02-03 04:46:12,delivered,3.0,144
DEL-00120,ORD-00169,DRV-043,2025-09-30 00:07:56,2025-09-30 01:02:56,delivered,61.7,55
DEL-00121,ORD-00170,DRV-041,2025-07-15 00:24:21,2025-07-15 01:49:21,delivered,9.8,85
DEL-00122,ORD-00171,DRV-044,2025-11-05 20:42:09,2025-11-06 00:06:09,delivered,67.8,204
DEL-00123,ORD-00172,DRV-034,2025-04-22 17:02:13,2025-04-22 17:40:13,delivered,29.9,38
DEL-00124,ORD-00173,DRV-015,2026-01-09 07:48:10,2026-01-09 10:56:10,failed,49.1,188
DEL-00125,ORD-00174,DRV-003,2026-03-30 03:01:57,2026-03-30 04:41:57,delivered,57.5,100
DEL-00126,ORD-00175,DRV-007,2025-06-04 01:27:41,2025-06-04 03:31:41,delivered,78.6,124
DEL-00127,ORD-00178,DRV-004,2025-05-19 02:27:11,2025-05-19 04:16:11,failed,7.0,109
DEL-00128,ORD-00179,DRV-015,2025-10-09 17:48:07,2025-10-09 21:17:07,delivered,10.0,209
DEL-00129,ORD-00182,DRV-026,2026-02-24 20:28:45,2026-02-25 00:21:45,in_transit,27.2,233
DEL-00130,ORD-00183,DRV-026,2026-01-15 03:40:33,2026-01-15 06:03:33,delivered,10.9,143
DEL-00131,ORD-00184,DRV-003,2025-04-26 21:08:33,2025-04-27 00:56:33,delivered,43.6,228
DEL-00132,ORD-00185,DRV-040,2025-09-30 11:09:54,2025-09-30 14:22:54,failed,36.2,193
DEL-00133,ORD-00186,DRV-015,2026-01-23 20:51:37,2026-01-23 23:38:37,failed,6.2,167
DEL-00134,ORD-00188,DRV-023,2025-09-12 12:25:54,2025-09-12 14:12:54,delivered,64.7,107
DEL-00135,ORD-00189,DRV-031,2026-01-30 09:51:06,2026-01-30 12:32:06,delivered,24.8,161
DEL-00136,ORD-00190,DRV-015,2025-08-30 14:09:24,2025-08-30 18:06:24,failed,24.9,237
DEL-00137,ORD-00191,DRV-020,2025-10-04 13:02:43,2025-10-04 16:49:43,failed,35.0,227
DEL-00138,ORD-00192,DRV-009,2025-12-05 07:23:33,2025-12-05 07:58:33,delivered,7.2,35
DEL-00139,ORD-00193,DRV-033,2026-02-25 16:02:52,2026-02-25 17:53:52,delivered,39.4,111
DEL-00140,ORD-00195,DRV-032,2026-03-09 20:46:18,2026-03-09 22:09:18,delivered,69.8,83
DEL-00141,ORD-00196,DRV-046,2025-08-16 08:18:55,2025-08-16 10:43:55,delivered,57.1,145
DEL-00142,ORD-00197,DRV-033,2025-04-29 11:54:16,2025-04-29 13:01:16,delivered,53.7,67
DEL-00143,ORD-00198,DRV-003,2025-09-19 09:29:48,2025-09-19 12:22:48,delivered,62.4,173
DEL-00144,ORD-00201,DRV-024,2025-10-31 05:59:45,2025-10-31 08:53:45,delivered,66.7,174
DEL-00145,ORD-00202,DRV-015,2026-02-02 09:21:00,2026-02-02 12:51:00,delivered,53.6,210
DEL-00146,ORD-00205,DRV-048,2026-03-04 02:26:08,2026-03-04 03:40:08,delivered,25.4,74
DEL-00147,ORD-00206,DRV-017,2026-01-10 11:38:32,2026-01-10 12:25:32,delivered,44.9,47
DEL-00148,ORD-00209,DRV-002,2025-12-19 14:59:09,2025-12-19 16:32:09,delivered,47.5,93
DEL-00149,ORD-00210,DRV-025,2026-03-08 14:56:28,2026-03-08 17:25:28,delivered,73.0,149
DEL-00150,ORD-00211,DRV-047,2025-05-28 13:50:45,2025-05-28 16:20:45,delivered,57.3,150
DEL-00151,ORD-00212,DRV-035,2025-08-27 14:49:18,2025-08-27 16:47:18,delivered,60.0,118
DEL-00152,ORD-00213,DRV-018,2025-11-28 16:18:54,2025-11-28 19:34:54,delivered,8.4,196
DEL-00153,ORD-00214,DRV-001,2025-08-29 06:38:56,2025-08-29 09:44:56,delivered,11.0,186
DEL-00154,ORD-00218,DRV-005,2025-12-31 18:01:08,2025-12-31 18:34:08,failed,76.0,33
DEL-00155,ORD-00219,DRV-005,2025-06-30 21:36:05,2025-07-01 00:56:05,delivered,9.3,200
DEL-00156,ORD-00221,DRV-049,2025-07-13 15:56:13,2025-07-13 17:39:13,delivered,71.5,103
DEL-00157,ORD-00222,DRV-004,2025-05-28 01:33:33,2025-05-28 03:13:33,delivered,54.1,100
DEL-00158,ORD-00224,DRV-045,2026-03-26 16:29:07,2026-03-26 19:30:07,delivered,21.9,181
DEL-00159,ORD-00226,DRV-009,2026-04-02 09:24:47,2026-04-02 13:21:47,in_transit,37.1,237
DEL-00160,ORD-00227,DRV-026,2025-07-02 23:08:37,2025-07-03 03:05:37,delivered,58.1,237
DEL-00161,ORD-00228,DRV-013,2026-01-13 15:46:39,2026-01-13 19:06:39,delivered,51.7,200
DEL-00162,ORD-00230,DRV-041,2025-08-24 15:55:33,2025-08-24 16:32:33,delivered,65.3,37
DEL-00163,ORD-00231,DRV-038,2025-07-23 08:44:05,2025-07-23 12:25:05,delivered,4.3,221
DEL-00164,ORD-00232,DRV-013,2025-12-21 05:50:39,2025-12-21 09:21:39,delivered,65.9,211
DEL-00165,ORD-00233,DRV-048,2025-07-27 02:31:46,2025-07-27 04:37:46,delivered,37.3,126
DEL-00166,ORD-00235,DRV-001,2025-08-20 21:18:48,2025-08-20 23:34:48,returned_to_warehouse,34.3,136
DEL-00167,ORD-00237,DRV-018,2025-10-25 11:54:47,2025-10-25 13:44:47,failed,60.2,110
DEL-00168,ORD-00238,DRV-009,2025-05-31 01:46:53,2025-05-31 05:43:53,in_transit,76.1,237
DEL-00169,ORD-00241,DRV-040,2025-10-27 18:01:23,2025-10-27 21:25:23,delivered,56.5,204
DEL-00170,ORD-00243,DRV-014,2025-11-30 03:14:59,2025-11-30 06:03:59,failed,5.1,169
DEL-00171,ORD-00244,DRV-027,2026-02-03 20:54:19,2026-02-03 23:16:19,delivered,77.8,142
DEL-00172,ORD-00245,DRV-031,2026-03-28 08:59:07,2026-03-28 11:00:07,in_transit,50.1,121
DEL-00173,ORD-00247,DRV-041,2026-03-27 17:37:55,2026-03-27 20:02:55,delivered,49.9,145
DEL-00174,ORD-00248,DRV-019,2025-05-10 13:24:56,2025-05-10 15:04:56,delivered,65.5,100
DEL-00175,ORD-00250,DRV-023,2025-09-30 01:45:16,2025-09-30 04:52:16,delivered,14.8,187
DEL-00176,ORD-00252,DRV-024,2026-03-09 22:19:04,2026-03-10 00:46:04,delivered,25.7,147
DEL-00177,ORD-00253,DRV-004,2025-07-31 05:56:44,2025-07-31 07:44:44,delivered,12.9,108
DEL-00178,ORD-00254,DRV-009,2026-03-31 11:42:07,2026-03-31 14:32:07,delivered,31.9,170
DEL-00179,ORD-00255,DRV-049,2025-05-26 17:48:23,2025-05-26 19:13:23,delivered,7.2,85
DEL-00180,ORD-00256,DRV-040,2025-07-26 11:59:16,2025-07-26 15:37:16,delivered,72.6,218
DEL-00181,ORD-00258,DRV-041,2025-10-15 17:50:18,2025-10-15 19:45:18,delivered,29.8,115
DEL-00182,ORD-00260,DRV-017,2025-10-23 10:21:46,2025-10-23 12:55:46,delivered,55.5,154
DEL-00183,ORD-00261,DRV-014,2025-12-03 00:41:33,2025-12-03 01:34:33,in_transit,25.3,53
DEL-00184,ORD-00262,DRV-001,2025-08-03 07:59:34,2025-08-03 11:51:34,delivered,73.7,232
DEL-00185,ORD-00264,DRV-047,2025-10-31 00:13:44,2025-10-31 03:53:44,delivered,64.5,220
DEL-00186,ORD-00265,DRV-018,2025-06-04 22:27:36,2025-06-04 23:50:36,delivered,66.9,83
DEL-00187,ORD-00266,DRV-036,2025-08-22 11:13:52,2025-08-22 12:56:52,delivered,74.2,103
DEL-00188,ORD-00267,DRV-035,2025-09-25 22:54:38,2025-09-26 01:27:38,delivered,13.0,153
DEL-00189,ORD-00268,DRV-016,2025-12-07 20:17:20,2025-12-07 23:13:20,delivered,2.1,176
DEL-00190,ORD-00269,DRV-025,2025-07-31 20:30:22,2025-07-31 21:16:22,delivered,21.7,46
DEL-00191,ORD-00270,DRV-031,2025-05-10 16:56:25,2025-05-10 20:35:25,delivered,56.3,219
DEL-00192,ORD-00271,DRV-006,2026-02-28 23:04:27,2026-03-01 02:02:27,delivered,66.7,178
DEL-00193,ORD-00272,DRV-034,2025-07-09 22:40:19,2025-07-10 00:16:19,delivered,56.3,96
DEL-00194,ORD-00274,DRV-005,2025-12-08 15:10:49,2025-12-08 17:39:49,delivered,48.0,149
DEL-00195,ORD-00275,DRV-021,2025-09-13 11:55:51,2025-09-13 15:21:51,in_transit,2.6,206
DEL-00196,ORD-00276,DRV-028,2025-08-19 17:58:35,2025-08-19 19:30:35,delivered,36.4,92
DEL-00197,ORD-00277,DRV-024,2025-12-08 00:16:11,2025-12-08 02:57:11,delivered,17.2,161
DEL-00198,ORD-00278,DRV-035,2025-08-14 07:27:49,2025-08-14 08:10:49,delivered,6.7,43
DEL-00199,ORD-00279,DRV-006,2025-11-19 18:22:02,2025-11-19 19:54:02,delivered,8.7,92
DEL-00200,ORD-00280,DRV-028,2025-12-27 03:40:44,2025-12-27 04:33:44,delivered,75.2,53
DEL-00201,ORD-00281,DRV-001,2026-02-18 13:06:08,2026-02-18 15:52:08,delivered,34.2,166
DEL-00202,ORD-00283,DRV-007,2025-08-06 03:39:10,2025-08-06 07:33:10,delivered,44.8,234
DEL-00203,ORD-00284,DRV-021,2025-06-03 01:49:09,2025-06-03 04:56:09,delivered,54.4,187
DEL-00204,ORD-00286,DRV-004,2025-06-18 15:32:47,2025-06-18 17:19:47,delivered,12.1,107
DEL-00205,ORD-00288,DRV-010,2025-10-10 17:53:56,2025-10-10 21:07:56,delivered,44.7,194
DEL-00206,ORD-00289,DRV-016,2026-04-07 15:16:26,2026-04-07 17:35:26,delivered,66.1,139
DEL-00207,ORD-00290,DRV-017,2026-01-24 09:34:53,2026-01-24 13:31:53,delivered,58.3,237
DEL-00208,ORD-00293,DRV-003,2025-09-29 18:40:57,2025-09-29 22:10:57,in_transit,60.0,210
DEL-00209,ORD-00297,DRV-033,2025-07-29 02:32:35,2025-07-29 03:49:35,delivered,17.2,77
DEL-00210,ORD-00298,DRV-022,2026-04-07 09:01:51,2026-04-07 10:56:51,delivered,78.2,115
DEL-00211,ORD-00299,DRV-009,2026-02-18 18:31:12,2026-02-18 21:59:12,delivered,3.5,208
DEL-00212,ORD-00301,DRV-010,2025-12-15 14:15:23,2025-12-15 15:58:23,delivered,59.8,103
DEL-00213,ORD-00303,DRV-021,2025-07-11 17:33:39,2025-07-11 19:46:39,in_transit,33.9,133
DEL-00214,ORD-00304,DRV-010,2025-04-30 23:51:49,2025-05-01 01:26:49,delivered,26.9,95
DEL-00215,ORD-00305,DRV-016,2025-08-09 11:36:21,2025-08-09 12:30:21,delivered,78.7,54
DEL-00216,ORD-00306,DRV-009,2025-06-01 12:46:35,2025-06-01 16:25:35,delivered,42.5,219
DEL-00217,ORD-00307,DRV-038,2025-07-20 14:48:25,2025-07-20 15:27:25,delivered,4.5,39
DEL-00218,ORD-00308,DRV-025,2025-06-22 12:23:33,2025-06-22 13:40:33,in_transit,53.9,77
DEL-00219,ORD-00309,DRV-048,2025-11-07 13:46:05,2025-11-07 17:03:05,returned_to_warehouse,4.1,197
DEL-00220,ORD-00310,DRV-049,2025-04-30 02:12:58,2025-04-30 05:55:58,delivered,5.6,223
DEL-00221,ORD-00312,DRV-037,2025-08-19 22:13:13,2025-08-19 23:48:13,delivered,43.7,95
DEL-00222,ORD-00313,DRV-012,2025-08-30 06:01:22,2025-08-30 07:20:22,delivered,19.8,79
DEL-00223,ORD-00314,DRV-014,2025-10-31 08:28:51,2025-10-31 10:34:51,delivered,76.5,126
DEL-00224,ORD-00315,DRV-027,2025-06-14 14:25:53,2025-06-14 15:57:53,delivered,59.2,92
DEL-00225,ORD-00316,DRV-012,2025-08-05 17:32:26,2025-08-05 19:14:26,delivered,28.0,102
DEL-00226,ORD-00319,DRV-040,2025-10-16 12:54:31,2025-10-16 15:06:31,delivered,25.3,132
DEL-00227,ORD-00320,DRV-038,2025-06-09 01:32:24,2025-06-09 03:51:24,delivered,63.9,139
DEL-00228,ORD-00321,DRV-048,2025-10-01 10:12:54,2025-10-01 12:32:54,delivered,35.5,140
DEL-00229,ORD-00322,DRV-016,2025-08-10 21:05:36,2025-08-11 00:41:36,returned_to_warehouse,65.2,216
DEL-00230,ORD-00323,DRV-041,2025-04-18 11:46:58,2025-04-18 15:28:58,delivered,37.4,222
DEL-00231,ORD-00324,DRV-036,2026-01-12 21:36:35,2026-01-13 01:36:35,delivered,20.9,240
DEL-00232,ORD-00325,DRV-015,2026-04-08 19:01:28,2026-04-08 22:11:28,delivered,30.1,190
DEL-00233,ORD-00326,DRV-045,2025-08-15 17:03:59,2025-08-15 19:16:59,delivered,67.1,133
DEL-00234,ORD-00328,DRV-022,2025-10-06 08:19:38,2025-10-06 10:27:38,delivered,78.6,128
DEL-00235,ORD-00329,DRV-025,2025-08-01 03:41:43,2025-08-01 04:27:43,delivered,22.9,46
DEL-00236,ORD-00330,DRV-033,2026-03-27 00:06:03,2026-03-27 02:10:03,failed,63.4,124
DEL-00237,ORD-00331,DRV-007,2026-04-09 02:37:52,2026-04-09 05:45:52,delivered,73.5,188
DEL-00238,ORD-00332,DRV-016,2025-11-12 01:17:53,2025-11-12 03:48:53,delivered,63.1,151
DEL-00239,ORD-00334,DRV-029,2025-11-09 06:49:25,2025-11-09 09:47:25,delivered,56.4,178
DEL-00240,ORD-00335,DRV-047,2026-03-15 01:38:21,2026-03-15 03:17:21,delivered,74.1,99
DEL-00241,ORD-00337,DRV-038,2025-12-24 08:02:13,2025-12-24 11:22:13,delivered,20.2,200
DEL-00242,ORD-00338,DRV-049,2026-01-09 20:31:30,2026-01-09 23:57:30,delivered,56.6,206
DEL-00243,ORD-00340,DRV-048,2025-06-07 09:17:28,2025-06-07 13:03:28,failed,47.0,226
DEL-00244,ORD-00344,DRV-046,2026-02-17 13:03:54,2026-02-17 14:12:54,failed,24.6,69
DEL-00245,ORD-00345,DRV-020,2025-09-27 16:25:46,2025-09-27 18:34:46,delivered,40.5,129
DEL-00246,ORD-00348,DRV-030,2025-12-06 06:43:58,2025-12-06 08:39:58,delivered,39.0,116
DEL-00247,ORD-00349,DRV-013,2025-11-17 04:21:35,2025-11-17 07:36:35,delivered,56.4,195
